"COUNTRY","COICOP_1999","FREQUENCY","TIME_PERIOD","OBS_VALUE"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M04","146.785405354086"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M05","149.219990056949"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M06","149.868323957539"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M07","152.020255575896"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M08","154.654690114723"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M09","155.098676580378"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M10","155.375804757169"
"Myanmar","Miscellaneous goods and services","Monthly","2020-M11","154.979826111351"
"Myanmar","Recreation and culture","Monthly","2011-M01",""
"Myanmar","Recreation and culture","Monthly","2011-M02",""
"Myanmar","Recreation and culture","Monthly","2011-M03",""
"Myanmar","Recreation and culture","Monthly","2011-M04",""
"Myanmar","Recreation and culture","Monthly","2011-M05",""
"Myanmar","Recreation and culture","Monthly","2011-M06",""
"Myanmar","Recreation and culture","Monthly","2011-M07",""
"Myanmar","Recreation and culture","Monthly","2011-M08",""
"Myanmar","Recreation and culture","Monthly","2011-M09",""
"Myanmar","Recreation and culture","Monthly","2011-M10",""
"Myanmar","Recreation and culture","Monthly","2011-M11",""
"Myanmar","Recreation and culture","Monthly","2011-M12",""
"Myanmar","Recreation and culture","Monthly","2012-M01",""
"Myanmar","Recreation and culture","Monthly","2012-M02",""
"Myanmar","Recreation and culture","Monthly","2012-M03",""
"Myanmar","Recreation and culture","Monthly","2012-M04",""
"Myanmar","Recreation and culture","Monthly","2012-M05",""
"Myanmar","Recreation and culture","Monthly","2012-M06",""
"Myanmar","Recreation and culture","Monthly","2012-M07",""
"Myanmar","Recreation and culture","Monthly","2012-M08",""
"Myanmar","Recreation and culture","Monthly","2012-M09",""
"Myanmar","Recreation and culture","Monthly","2012-M10",""
"Myanmar","Recreation and culture","Monthly","2012-M11",""
"Myanmar","Recreation and culture","Monthly","2012-M12",""
"Myanmar","Recreation and culture","Monthly","2013-M01","100.261965494669"
"Myanmar","Recreation and culture","Monthly","2013-M02","99.8570758211716"
"Myanmar","Recreation and culture","Monthly","2013-M03","99.1969417286449"
"Myanmar","Recreation and culture","Monthly","2013-M04","97.9431530647613"
"Myanmar","Recreation and culture","Monthly","2013-M05","97.5364138756118"
"Myanmar","Recreation and culture","Monthly","2013-M06","97.0414204440565"
"Myanmar","Recreation and culture","Monthly","2013-M07","99.2821377028453"
"Myanmar","Recreation and culture","Monthly","2013-M08","99.3929762291816"
"Myanmar","Recreation and culture","Monthly","2013-M09","99.8192749209047"
"Myanmar","Recreation and culture","Monthly","2013-M10","99.8482660102095"
"Myanmar","Recreation and culture","Monthly","2013-M11","99.7963766407866"
"Myanmar","Recreation and culture","Monthly","2013-M12","99.6985904780914"
"Myanmar","Recreation and culture","Monthly","2014-M01","99.5433675283997"
"Myanmar","Recreation and culture","Monthly","2014-M02","99.5447938656393"
"Myanmar","Recreation and culture","Monthly","2014-M03","99.5447938656393"
"Myanmar","Recreation and culture","Monthly","2014-M04","99.5160629341182"
"Myanmar","Recreation and culture","Monthly","2014-M05","99.2841930533965"
"Myanmar","Recreation and culture","Monthly","2014-M06","99.1760248460603"
"Myanmar","Recreation and culture","Monthly","2014-M07","99.0170108491693"
"Myanmar","Recreation and culture","Monthly","2014-M08","99.0038421942646"
"Myanmar","Recreation and culture","Monthly","2014-M09","99.0526631851924"
"Myanmar","Recreation and culture","Monthly","2014-M10","99.0526631851924"
"Myanmar","Recreation and culture","Monthly","2014-M11","99.3071895482515"
"Myanmar","Recreation and culture","Monthly","2014-M12","99.9353175883427"
"Myanmar","Recreation and culture","Monthly","2015-M01","102.105790240734"
"Myanmar","Recreation and culture","Monthly","2015-M02","102.195517542264"
"Myanmar","Recreation and culture","Monthly","2015-M03","102.194390614607"
"Myanmar","Recreation and culture","Monthly","2015-M04","102.251626825935"
"Myanmar","Recreation and culture","Monthly","2015-M05","102.251722936555"
"Myanmar","Recreation and culture","Monthly","2015-M06","102.213133683144"
"Myanmar","Recreation and culture","Monthly","2015-M07","102.305262743319"
"Myanmar","Recreation and culture","Monthly","2015-M08","102.16532217447"
"Myanmar","Recreation and culture","Monthly","2015-M09","101.588112811245"
"Myanmar","Recreation and culture","Monthly","2015-M10","101.62299834384"
"Myanmar","Recreation and culture","Monthly","2015-M11","103.727760940179"
"Myanmar","Recreation and culture","Monthly","2015-M12","104.10518127898"
"Myanmar","Recreation and culture","Monthly","2016-M01","103.752568378614"
"Myanmar","Recreation and culture","Monthly","2016-M02","104.207142261463"
"Myanmar","Recreation and culture","Monthly","2016-M03","104.339625630151"
"Myanmar","Recreation and culture","Monthly","2016-M04","104.413613770564"
"Myanmar","Recreation and culture","Monthly","2016-M05","104.546914181377"
"Myanmar","Recreation and culture","Monthly","2016-M06","105.059919751832"
"Myanmar","Recreation and culture","Monthly","2016-M07","105.265094641402"
"Myanmar","Recreation and culture","Monthly","2016-M08","105.27583850406"
"Myanmar","Recreation and culture","Monthly","2016-M09","105.264627515482"
"Myanmar","Recreation and culture","Monthly","2016-M10","105.080641180633"
"Myanmar","Recreation and culture","Monthly","2016-M11","105.15674684018"
"Myanmar","Recreation and culture","Monthly","2016-M12","105.255942623361"
"Myanmar","Recreation and culture","Monthly","2017-M01","105.262985236214"
"Myanmar","Recreation and culture","Monthly","2017-M02","105.272622335375"
"Myanmar","Recreation and culture","Monthly","2017-M03","105.288336725663"
"Myanmar","Recreation and culture","Monthly","2017-M04","105.288582487588"
"Myanmar","Recreation and culture","Monthly","2017-M05","105.327908209532"
"Myanmar","Recreation and culture","Monthly","2017-M06","105.402887507879"
"Myanmar","Recreation and culture","Monthly","2017-M07","105.529339285942"
"Myanmar","Recreation and culture","Monthly","2017-M08","105.966314312737"
"Myanmar","Recreation and culture","Monthly","2017-M09","106.17206847179"
"Myanmar","Recreation and culture","Monthly","2017-M10","106.133692587159"
"Myanmar","Recreation and culture","Monthly","2017-M11","106.309620016448"
"Myanmar","Recreation and culture","Monthly","2017-M12","105.986178624221"
"Myanmar","Recreation and culture","Monthly","2018-M01","106.01556342207"
"Myanmar","Recreation and culture","Monthly","2018-M02","106.111908501621"
"Myanmar","Recreation and culture","Monthly","2018-M03","106.216199898234"
"Myanmar","Recreation and culture","Monthly","2018-M04","106.425963566757"
"Myanmar","Recreation and culture","Monthly","2018-M05","106.742685922317"
"Myanmar","Recreation and culture","Monthly","2018-M06","107.469747561974"
"Myanmar","Recreation and culture","Monthly","2018-M07","107.665547005541"
"Myanmar","Recreation and culture","Monthly","2018-M08","108.298098645913"
"Myanmar","Recreation and culture","Monthly","2018-M09","108.928983607575"
"Myanmar","Recreation and culture","Monthly","2018-M10","109.137156504555"
"Myanmar","Recreation and culture","Monthly","2018-M11","109.279849218827"
"Myanmar","Recreation and culture","Monthly","2018-M12","109.588153166375"
"Myanmar","Recreation and culture","Monthly","2019-M01","110.042288118728"
"Myanmar","Recreation and culture","Monthly","2019-M02","110.046661293948"
"Myanmar","Recreation and culture","Monthly","2019-M03","110.056807167508"
"Myanmar","Recreation and culture","Monthly","2019-M04","119.988253037758"
"Myanmar","Recreation and culture","Monthly","2019-M05","120.485068507482"
"Myanmar","Recreation and culture","Monthly","2019-M06","121.363938039179"
"Myanmar","Recreation and culture","Monthly","2019-M07","121.531334391721"
"Myanmar","Recreation and culture","Monthly","2019-M08","121.601958728986"
"Myanmar","Recreation and culture","Monthly","2019-M09","122.069969161105"
"Myanmar","Recreation and culture","Monthly","2019-M10","122.524685110091"
"Myanmar","Recreation and culture","Monthly","2019-M11","123.192460027724"
"Myanmar","Recreation and culture","Monthly","2019-M12","123.314066514748"
"Myanmar","Recreation and culture","Monthly","2020-M01","123.389244418342"
"Myanmar","Recreation and culture","Monthly","2020-M02","123.39"
"Myanmar","Recreation and culture","Monthly","2020-M03","123.24"
"Myanmar","Recreation and culture","Monthly","2020-M04","123.238802383834"
"Myanmar","Recreation and culture","Monthly","2020-M05","123.236305994185"
"Myanmar","Recreation and culture","Monthly","2020-M06","123.603720094355"
"Myanmar","Recreation and culture","Monthly","2020-M07","123.86923742657"
"Myanmar","Recreation and culture","Monthly","2020-M08","124.039170174332"
"Myanmar","Recreation and culture","Monthly","2020-M09","124.048948125778"
"Myanmar","Recreation and culture","Monthly","2020-M10","124.061782694987"
"Myanmar","Recreation and culture","Monthly","2020-M11","124.117054303613"
"Myanmar","Clothing and footwear","Monthly","2011-M01",""
"Myanmar","Clothing and footwear","Monthly","2011-M02",""
"Myanmar","Clothing and footwear","Monthly","2011-M03",""
"Myanmar","Clothing and footwear","Monthly","2011-M04",""
"Myanmar","Clothing and footwear","Monthly","2011-M05",""
"Myanmar","Clothing and footwear","Monthly","2011-M06",""
"Myanmar","Clothing and footwear","Monthly","2011-M07",""
"Myanmar","Clothing and footwear","Monthly","2011-M08",""
"Myanmar","Clothing and footwear","Monthly","2011-M09",""
"Myanmar","Clothing and footwear","Monthly","2011-M10",""
"Myanmar","Clothing and footwear","Monthly","2011-M11",""
"Myanmar","Clothing and footwear","Monthly","2011-M12",""
"Myanmar","Clothing and footwear","Monthly","2012-M01",""
"Myanmar","Clothing and footwear","Monthly","2012-M02",""
"Myanmar","Clothing and footwear","Monthly","2012-M03",""
"Myanmar","Clothing and footwear","Monthly","2012-M04",""
"Myanmar","Clothing and footwear","Monthly","2012-M05",""
"Myanmar","Clothing and footwear","Monthly","2012-M06",""
"Myanmar","Clothing and footwear","Monthly","2012-M07",""
"Myanmar","Clothing and footwear","Monthly","2012-M08",""
"Myanmar","Clothing and footwear","Monthly","2012-M09",""
"Myanmar","Clothing and footwear","Monthly","2012-M10",""
"Myanmar","Clothing and footwear","Monthly","2012-M11",""
"Myanmar","Clothing and footwear","Monthly","2012-M12",""
"Myanmar","Clothing and footwear","Monthly","2013-M01","102.825486501236"
"Myanmar","Clothing and footwear","Monthly","2013-M02","103.637239579769"
"Myanmar","Clothing and footwear","Monthly","2013-M03","102.653827997192"
"Myanmar","Clothing and footwear","Monthly","2013-M04","101.908824333872"
"Myanmar","Clothing and footwear","Monthly","2013-M05","101.561711718525"
"Myanmar","Clothing and footwear","Monthly","2013-M06","101.227752023328"
"Myanmar","Clothing and footwear","Monthly","2013-M07","101.814071388878"
